proposal_id,topics
7,servicios de limpieza
19,medio ambiente
50,"carriles bici,ciclismo,deportes,medio ambiente,sostenibilidad"
61,"alumbrado,carreteras"
72,"actividad economica,centros comerciales,comercio,derechos humanos,igualdad,sostenibilidad"
86,"medio ambiente,reciclaje,sostenibilidad"
89,"medio ambiente,reciclaje"
109,"diseño urbano,graffitis,medio ambiente y limpieza"
152,"actividad economica,energias renovables,medio ambiente,sostenibilidad"
417,"actividad economica,asociacionismo,ayuntamiento,deportes,derechos humanos,emergencias,igualdad,medio ambiente,policia,sostenibilidad,transparencia"
494,"edificios,graffitis,medio ambiente y limpieza,patrimonio,turismo,urbanismo,vandalismo"
507,"actividad economica,derechos humanos,igualdad,medio ambiente,palomas urbanas,sostenibilidad"
615,ciclismo
629,basuras
878,"castracion de animales,derechos de los animales,fauna urbana,medio ambiente,palomas urbanas"
879,"medio ambiente,sostenibilidad"
900,"actividad economica,asociacionismo,bancos,derechos humanos,medio ambiente,sostenibilidad"
965,"actividad economica,ibi,inmuebles,la iglesia,transparencia"
1085,"excrementos de animales,medio ambiente y limpieza,perros"
1114,"colegios,concienciacion,derechos de los animales,formacion,respeto y civismo"
1121,
1266,
1284,
1419,
1824,
1863,
1918,
1937,
2121,
2135,
2412,
2445,
2513,
2524,
2538,
2551,
2576,
2944,
3044,
3078,
3165,
3481,
3587,
3905,
4293,
4541,
6931,
7382,
7482,
7488,
7633,
8188,
8253,
8640,
10195,
10675,
10687,
10996,
11134,
12131,
15711,
15970,
15978,
15996,
19024,
19170,
19853,
19914,
20389,
20657,
21171,
21567,
22742,
23131,
23219,
23704,
24954,
25077,
26277,
26787,
