sent_id,sent_text,sent_label1,sent_label2,sent_label3
86-0-0,Reciclaje aceite de cocina,NO,SPAM,NONE
86-0-0,Instalación de contenedores para el reciclaje del aceite de cocina.,YES,CLAIM,NONE
86-17231-0,"Actualmente sólo se puede reciclar el aceite de cocina usado en los puntos limpios, en muchas ocasiones alejados de las viviendas.",YES,PREMISE,REASON
86-17231-1,Acercarlo a las comunidades de vecinos facilitaría el reciclaje.,YES,CLAIM,NONE
86-21874-0,Hola!.,NO,SPAM,NONE
86-17281-0,"Totalemente de acuerdo! Yo lo reciclo y cada vez que lleno la garrafa me toca llevarla a un punto limpio específico que me pilla muy lejos de casa y los que son móviles los ponen a unos horarios matinales que a mucha gente nos viene fatal, me suena que esos contenedores para aiceite los hay ya en otros ayuntamientos.",YES,PREMISE,ADDITION
86-17371-0,Creo que sería más fácil aumentar el número de puntos limpios móviles y los horarios de los mismos.,YES,CLAIM,NONE
86-17371-1,No se genera tal cantidad de aceites como para tener que colocar otro contenedor en zonas tan limitadas actualmente.,YES,PREMISE,REASON
86-17631-0,Es una propuesta muy interesante.,NO,SPAM,NONE
86-17631-1,En otros Ayuntamientos ya está operativo.,NO,SPAM,NONE
86-17631-2,Cuanto más cerca de las viviendas se coloque más cultura de reciclaje habrá.,YES,CLAIM,NONE
86-17631-3,Os paso un link del Ayuntamiento de Zaragoza.,NO,SPAM,NONE
86-17631-4,"Serían contenedores que se podrían poner junto a los orgánicos, papel o vidrio.",YES,CLAIM,NONE
86-17631-5,Cuidemos Madrid.,NO,SPAM,NONE
86-17669-0,"Totalmente de acuerdo, que pongan un contenedor de reciclaje de aceite al lado de los contenedores de vidrio y papel que ya tenemos en Madrid, como ya hay en muchas otras provincias.",YES,CLAIM,NONE
86-17773-0,QEn Pais Vasco tienen este sistema en el que se intercambia el bote de aceite lleno por otro vacío y que funciona de forma muy eficiente como ejemplo sobre lo que puede valorarse para hacer.,YES,CLAIM,NONE
86-90291-0,También es muy bueno.,NO,SPAM,NONE
86-17854-0,Hace poco descubri que tengo un punto limpio movil en la calle paralela donde vivo.,NO,SPAM,NONE
86-17854-1,Pero no me sirve de mucho o de nada porque es un día a la semana y a una hora en la que ya me he tenido que ir a trabajar.,YES,CLAIM,NONE
86-17854-2,No estaría mal dejar un contenedor para ello que suelen ser más pequeños que los de vidrio o papel cercanos a estaciones de metro en los barrios o a los colegios.,YES,CLAIM,NONE
86-17774-0,"Me has copiado la idea que comencé yo hace una semana, pero no pasa nada, mientras se consiga pues genial.",NO,SPAM,NONE
86-17774-1,"Lo único que te aconsejo es que edites la petición e incluyas como petición que es imprescindible que para que se haga una recogida de aceite de la forma más óptima desde el primer día, que sean necesarios 10 contenedores como mínimo en cada distrito, gracias.",YES,CLAIM,NONE
86-18054-0,Muy importante esta propuesta.,NO,SPAM,NONE
86-18054-1,"Soy de Gijón y allí el Ayuntamiento hace años que instaló contenedores a la entrada de muchos supermercados, con lo que es muy fácil reciclar el aceite: .",YES,CLAIM,NONE
86-18849-0,No es mala idea David.,NO,SPAM,NONE
86-18849-1,"Al mercado se va casi todos los días, y no cuesta llevar un bote con aceite ya que vas de camino.",YES,CLAIM,NONE
86-52786-0,"En Benicassim, los jueves que hay mercadillo, el ayuntamiento coloca una unidad móvil de reciclaje de productos sensibles cómo puede ser el aceite, pilas etc. Está muy bien pensado.",NO,SPAM,NONE
86-90286-0,También es buena idea.,NO,SPAM,NONE
86-90285-0,"Me parece muy buena idea lo de los supermercados, son sitios a donde la gente acude con frecuencia y muchas veces cercanos a los domicilios.",YES,CLAIM,NONE
86-18273-0,Plan anti grafitis.,NO,SPAM,NONE
86-18273-1,Acabemos con esta lacra: .,NO,SPAM,NONE
86-18683-0,Ya tenemos 1 de votos.,NO,SPAM,NONE
86-18683-1,Tenemos un largo camino pero lo conseguiremos.,NO,SPAM,NONE
86-18683-2,Cuidar Madrid es cuidarnos a nosotros mismos.,NO,SPAM,NONE
86-18867-0,Si te importa el Medio Ambiente igual apoyarías también esta propuesta.,YES,CLAIM,NONE
86-19306-0,Una general y/o relacionada: .,NO,SPAM,NONE
86-21401-0,"Muy buena propuesta! También os animo a que aprendáis a hacer jabón casero con el aceite usado para lavar los platos, etc. Es muy fácil, reciclas el aceite y ahorras.",YES,CLAIM,NONE
86-24057-0,El aceite de cocina lo puedes dejar en los puntos limpios que hay en cada barrio.,YES,CLAIM,NONE
86-24057-1,Eso sí tienes que almacenarlo en un recipiente de plástico cualquier botella de refresco.,YES,PREMISE,CONCESSION
86-24156-0,Dónde se puede saber el lugar del punto limpio de cada barrio.,NO,SPAM,NONE
