sent_id,sent_text,sent_label
19-0-0-0,Unir el centro con Madrid Río de forma peatonal,MAJOR_CLAIM
19-0-0-0,"El centro turístico y comercial de Madrid está sólo a 700 metros de la Casa de Campo y de Madrid Rio, pero las conexiones a él son terribles.",PREMISE
19-0-1-0,Propongo unirlo con calles peatonales y arboladas.,CLAIM
19-0-0-0,En Madrid tenemos la suerte de tener la Casa de Campo muy cerca del centro de la ciudad.,CLAIM
19-0-1-0,"Sólo 700 metros separan el pulmón verde de la capital con Plaza de España y la Gran Vía a través de la cuesta de San Vicente, pero curiosamente, los Madrileños y turistas no usan esta vía para disfrutar de Madrid Rio o la Casa de Campo, ya que la calle Cuesta de San Vicente u otras que conectan el centro con la casa de campo están tremendamente contaminadas y son peligrosas para circular con bicicleta.",PREMISE
19-0-2-0,"Peligrosas en dos sentidos: 1 El peligro físico, ya que los coches van a una velocidad tremenda y en el túnel de Ferraz hay tráfico e incidentes y 2 el peligro al que nos expone la contaminación de los coches.",PREMISE
19-0-3-0,"Subir la cuesta con la bicicleta o andando, genera una sensación de malestar  producido por la contaminación.",SPAM
19-0-4-0,"Me imagino que para la gente que corre en Madrid Río será peor aún, ya que después de hacer ejercicio la contaminación afecta más.",PREMISE
19-0-5-0,"Esta calle es especialmente peligrosa en este sentido porque se unen dos factores: La entrada de la Nacional 5 con el tráfico que eso conlleva y que la cuesta es muy pronunciada, haciendo que los coches consuman más gasolina y generen más emisiones.",PREMISE
19-0-6-0,Con mi propuesta pido que se estudie una solución para esta vía y otras paralelas.,CLAIM
19-0-7-0,"No sé si la solución es el soterramiento, ya que es muy costoso, o si es la de priorizar el servicio público y peatonal, y desviar el tráfico por otras entradas a la capital.",PREMISE
19-17391-0-0,"Totalmente de acuerdo, el entorno de la Plaza de España con todos sus túneles y la cuesta de San Vicente la convierten en un sitio tremendamente hostil para los peatones y los ciclistas.",CLAIM
19-17391-0-1,"Totalmente de acuerdo, el entorno de la Plaza de España con todos sus túneles y la cuesta de San Vicente la convierten en un sitio tremendamente hostil para los peatones y los ciclistas.",PREMISE
19-17391-1-0,Es necesario acabar con eso.,PREMISE
