id,task,dataset,configuration,pipeline,params,accuracy,precision,recall,f1-score,roc-score,elapsed_time,datestamp
1,arg-detection,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": """", ""ml_algo"": ""naive-bayes""}","{""model__alpha"": 1, ""model__fit_prior"": false}",0.7265745007680492,0.7257660841095227,0.7265745007680492,0.7258313684793687,0.7214103102224596,45.81750249862671,2023-03-29 12:50:37.222054
2,arg-detection,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""svd"", ""ml_algo"": ""naive-bayes""}","{""model__alpha"": 0.01, ""model__fit_prior"": true}",0.5990783410138248,0.5946042773851817,0.5990783410138248,0.5924995381472352,0.585998015797306,83.345130443573,2023-03-29 12:52:01.742043
3,arg-detection,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""pca"", ""ml_algo"": ""naive-bayes""}","{""model__alpha"": 0.01, ""model__fit_prior"": true}",0.6113671274961597,0.6082143167372275,0.6113671274961597,0.6080109847209614,0.6016140725760293,101.1915910243988,2023-03-29 12:53:44.317935
4,arg-classification,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": """", ""ml_algo"": ""naive-bayes""}","{""model__alpha"": 1, ""model__fit_prior"": false}",0.6236559139784946,0.5891814162017022,0.6236559139784946,0.5868117452302009,0,44.24524450302124,2023-03-29 12:54:30.012306
5,arg-classification,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""svd"", ""ml_algo"": ""naive-bayes""}","{""model__alpha"": 10, ""model__fit_prior"": true}",0.5637480798771122,0.48736572570830167,0.5637480798771122,0.488214112515771,0,83.54547214508057,2023-03-29 12:55:54.728649
6,arg-classification,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""pca"", ""ml_algo"": ""naive-bayes""}","{""model__alpha"": 0.1, ""model__fit_prior"": true}",0.5591397849462365,0.46561875501505656,0.5591397849462365,0.47896044913674957,0,101.59108567237854,2023-03-29 12:57:37.486615
7,arg-detection,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": """", ""ml_algo"": ""logistic-regression""}","{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.717357910906298,0.7169023430046381,0.717357910906298,0.7146258190805043,0.7082601976571146,1628.9242033958435,2023-03-29 13:38:11.267291
8,arg-detection,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""svd"", ""ml_algo"": ""logistic-regression""}","{""model__C"": 100, ""model__penalty"": ""l2"", ""model__solver"": ""sag""}",0.65284178187404,0.6506588521016966,0.65284178187404,0.6489835319163282,0.6424142404701035,699.5902667045593,2023-03-29 13:49:56.125479
9,arg-detection,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""pca"", ""ml_algo"": ""logistic-regression""}","{""model__C"": 0.001, ""model__penalty"": ""none"", ""model__solver"": ""lbfgs""}",0.6697388632872504,0.668062741354092,0.6697388632872504,0.6661905375767123,0.6596520013736789,863.2532036304474,2023-03-29 14:04:20.611388
10,arg-classification,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": """", ""ml_algo"": ""logistic-regression""}","{""model__C"": 1, ""model__penalty"": ""l2"", ""model__solver"": ""saga""}",0.6328725038402457,0.6025757049543695,0.6328725038402457,0.6068283369583294,0,2945.093380689621,2023-03-29 14:53:27.211741
11,arg-classification,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""svd"", ""ml_algo"": ""logistic-regression""}","{""model__C"": 0.001, ""model__penalty"": ""none"", ""model__solver"": ""lbfgs""}",0.6129032258064516,0.5757976046335304,0.6129032258064516,0.5762169355537419,0,701.5430200099945,2023-03-29 15:05:12.292307
12,arg-classification,ds_1100100111111111,test,"{""data_scale_algo"": ""normalize"", ""dim_red_algo"": ""pca"", ""ml_algo"": ""logistic-regression""}","{""model__C"": 1, ""model__penalty"": ""l2"", ""model__solver"": ""newton-cg""}",0.6113671274961597,0.5772328405937445,0.6113671274961597,0.5659414238118613,0,868.1470594406128,2023-03-29 15:19:41.640157
